"rotationAngle [deg]","Matrix1.L(CurrentPos,CurrentPos)/50 [mH]"
-180,22.422993399842
-179,22.4209759634239
-178,22.4494902607783
-177,22.46248579843
-176,22.4326360986276
-175,22.4305527682335
-174,22.4013228181434
-173,22.4628249328145
-172,22.3938322448989
-171,21.9934541476339
-170,22.0929715754149
-169,21.9832835030729
-168,21.5782788822835
-167,21.5574664955451
-166,21.3153090355645
-165,21.0034074129464
-164,20.7546642272351
-163,20.4989474718479
-162,20.253470720842
-161,20.063005293935
-160,19.9142069211075
-159,19.7798809780907
-158,19.7054428748238
-157,19.6068134245985
-156,19.4969490753719
-155,19.4106389498246
-154,19.3091455089153
-153,19.1606664839094
-152,19.0035334837056
-151,18.8234582735502
-150,18.6226419125039
-149,18.4261502020418
-148,18.1719670240662
-147,17.9090985354092
-146,17.6696870339858
-145,17.3340503353542
-144,17.0893736636336
-143,16.8622735238231
-142,16.6514720545647
-141,16.4786089657728
-140,16.2835220465826
-139,16.2230712348045
-138,16.0886220731223
-137,15.9603629359535
-136,15.8177091848215
-135,15.6836790038519
-134,15.5245712006759
-133,15.3458190207141
-132,15.1472865164753
-131,14.939990925759
-130,14.6938813514815
-129,14.47728245291
-128,14.2261102087998
-127,13.9631386483439
-126,13.7371644461763
-125,13.4104884749746
-124,13.1680032757036
-123,12.974754421667
-122,12.7884367540781
-121,12.5850555264061
-120,12.420472040209
-119,12.2444067938785
-118,12.0852921521233
-117,11.915954968016
-116,11.7524653705212
-115,11.5531742781499
-114,11.3561512317821
-113,11.1495526905354
-112,10.9279198395667
-111,10.7079378099238
-110,10.4878894302099
-109,10.2585778078052
-108,10.0280235848451
-107,9.79300503165294
-106,9.56988181984406
-105,9.34084197668992
-104,9.13297858453607
-103,8.94089361266878
-102,8.78584136789225
-101,8.66791931418346
-100,8.55509681716429
-99,8.46888082581978
-98,8.41016154731432
-97,8.35525152117415
-96,8.31017027369272
-95,8.26390184903357
-94,8.23036254205792
-93,8.20638884675606
-92,8.20124507824912
-91,8.18891487231529
-90,8.2153540714496
-89,8.21788420888471
-88,8.20138778491695
-87,8.20742782087806
-86,8.22862421887942
-85,8.26191037859476
-84,8.30698834947464
-83,8.35288799794907
-82,8.40814412584481
-81,8.46828635327221
-80,8.55661445722626
-79,8.6580626945321
-78,8.78778317686529
-77,8.94178932905778
-76,9.1346127061702
-75,9.34680615137132
-74,9.56976726924161
-73,9.79612685752966
-72,10.0292106472162
-71,10.2552285317173
-70,10.4849014920833
-69,10.7130148491803
-68,10.930825351014
-67,11.1574254548795
-66,11.3484449540768
-65,11.5552501949412
-64,11.7406841471979
-63,11.9256898262069
-62,12.1022164093758
-61,12.2435750040641
-60,12.4160009635922
-59,12.5911518529164
-58,12.7881641186629
-57,12.9636382588771
-56,13.1958228809922
-55,13.4181730196663
-54,13.7548140115174
-53,13.9754585053458
-52,14.2369972703761
-51,14.4868759127685
-50,14.7030609885943
-49,14.9372735173323
-48,15.1511748285192
-47,15.3404727933745
-46,15.5255708491136
-45,15.686018090732
-44,15.8185579054432
-43,15.9552787577289
-42,16.0860809614574
-41,16.22640511043
-40,16.2965708579846
-39,16.4744001937717
-38,16.6355582226054
-37,16.8423265118415
-36,17.1213820163745
-35,17.3286451114365
-34,17.6679442108586
-33,17.9143142608952
-32,18.1747437302197
-31,18.4277593142371
-30,18.6334013308656
-29,18.8222704618691
-28,19.0010922450551
-27,19.157488910325
-26,19.3067440706225
-25,19.4091247782897
-24,19.4988532988051
-23,19.6064266397934
-22,19.7062530770716
-21,19.7633595578441
-20,19.9030251281679
-19,20.0660674856328
-18,20.2748673547096
-17,20.4972670414304
-16,20.7476311887479
-15,20.979270006123
-14,21.3093285230308
-13,21.3965583379161
-12,21.5837980271564
-11,21.9874435589564
-10,22.1549854950057
-9,22.2264629690612
-8,22.391301460777
-7,22.4632861178632
-6,22.404219940596
-5,22.4313272762421
-4,22.4324685335817
-3,22.4544430228086
-2,22.4451471906266
-1,22.410179079471
0,22.4241753640806
1,22.412374865475
2,22.4483839824534
3,22.4614862519023
4,22.4312470098901
5,22.4306904333179
6,22.4015166171535
7,22.4624393144609
8,22.3944642152325
9,21.9925608131916
10,22.0950630735905
11,21.983633165075
12,21.5767278315448
13,21.5543414327545
14,21.1861846012449
15,20.9908365447877
16,20.7544385792646
17,20.5068096565143
18,20.253858485717
19,20.0640167551398
20,19.9123914219999
21,19.7797552785205
22,19.7075208492973
23,19.606233636523
24,19.4985210932434
25,19.4031536921926
26,19.3084310646382
27,19.1607148038004
28,19.0039061157679
29,18.8252562811496
30,18.6260846944375
31,18.4244184981855
32,18.1718787301937
33,17.9102226443217
34,17.6707596687735
35,17.3356708837319
36,17.0897474216761
37,16.8620284669821
38,16.6484194704535
39,16.4730116530876
40,16.2813725604287
41,16.2225028589517
42,16.0903497465316
43,15.9604206739046
44,15.815875897051
45,15.6823436341404
46,15.5255018056064
47,15.3449547737813
48,15.1470544846935
49,14.9400247631241
50,14.6958922878014
51,14.4797623103384
52,14.226454808043
53,13.9631093020214
54,13.7377730754031
55,13.4103167082481
56,13.1885294054046
57,12.975927707652
58,12.7888107460387
59,12.5851954587319
60,12.4212117185254
61,12.2445776738904
62,12.0872384795551
63,11.9154567980886
64,11.7405287456173
65,11.5562983302547
66,11.3558008419626
67,11.1495704652428
68,10.9239721797369
69,10.7122926413301
70,10.4877971778071
71,10.2589626935039
72,10.0261973452163
73,9.79463622315332
74,9.56841120598632
75,9.33898840119113
76,9.133354758834
77,8.93931282729815
78,8.78586175448946
79,8.66470410434463
80,8.5549478417933
81,8.47016580738131
82,8.41011193320309
83,8.35523070438471
84,8.31017352299651
85,8.26388045914057
86,8.22982821203281
87,8.20647993703305
88,8.20118659643946
89,8.18788321621345
90,8.21532625730243
91,8.19297580122941
92,8.20140715209611
93,8.20797150864875
94,8.22859588776169
95,8.26191764592299
96,8.30696983420533
97,8.35263575850239
98,8.40797788319821
99,8.4691356812532
100,8.5565695299625
101,8.65568415027671
102,8.78777351384557
103,8.94173359884167
104,9.13475194248124
105,9.34528010605689
106,9.56638931827343
107,9.7935573457742
108,10.0281046782015
109,10.2539336506494
110,10.4812372290245
111,10.7203250336484
112,10.9359818620038
113,11.1568091963435
114,11.3479639962037
115,11.5522152526518
116,11.7359641845407
117,11.9242610956499
118,12.0989471849267
119,12.2439444600385
120,12.4149599096158
121,12.5912201885336
122,12.7884459022654
123,12.9634284058259
124,13.206737818423
125,13.4182339329737
126,13.7542514021938
127,13.9771308703116
128,14.2370288962302
129,14.4864361934683
130,14.7056381528195
131,14.937235028927
132,15.1515223220871
133,15.3399676327385
134,15.5294543525865
135,15.6906210923491
136,15.8166057951675
137,15.9553158567017
138,16.0861184674802
139,16.226531579785
140,16.2966535199175
141,16.4701670039609
142,16.6304747965069
143,16.8420714200905
144,17.1211230179037
145,17.3338123924288
146,17.6664489050683
147,17.9374834810521
148,18.175125819695
149,18.418005772841
150,18.626439456077
151,18.8222117260324
152,19.0021341637016
153,19.1575900823256
154,19.306977699692
155,19.408616370742
156,19.4985520496198
157,19.6045903797814
158,19.704484291643
159,19.7638365526781
160,19.896364966003
161,20.0666900888695
162,20.2744863105571
163,20.4988439841346
164,20.7473874449599
165,20.966266127138
166,21.3100534547495
167,21.4082675447319
168,21.5847973025155
169,21.9863587042057
170,22.155570555946
171,22.2266135198415
172,22.3922236176889
173,22.4629386150479
174,22.3619506282814
175,22.4330522709965
176,22.4353438984362
177,22.4554507094841
178,22.4446973261019
179,22.4035825542786
180,22.4229933998421
