============================================================================================
ANSOFT                                                                              04/16/22
Winding Plot 1                                                                      18:36:49

--------------------------------------------------------------------------------------------
          Time [ms]   InputCurrent(Winding1) [A]
                                                
  0.000000000000000            3.000000000000000
 10.000000000000000            3.000000000000000
 20.000000000000000            3.000000000000000
 30.000000000000000            3.000000000000000
 40.000000000000000            3.000000000000000
 50.000000000000000            3.000000000000000
 60.000000000000000            3.000000000000000
 70.000000000000000            3.000000000000000
 80.000000000000000            3.000000000000000
 90.000000000000000            3.000000000000000
100.000000000000000            3.000000000000000
110.000000000000000            3.000000000000000
120.000000000000000            3.000000000000000
130.000000000000000            3.000000000000000
140.000000000000000            0.000000000000000
150.000000000000000            0.000000000000000
160.000000000000000            0.000000000000000
170.000000000000000            0.000000000000000
180.000000000000000            0.000000000000000
190.000000000000000            0.000000000000000
200.000000000000000            0.000000000000000
210.000000000000000            0.000000000000000
220.000000000000000            0.000000000000000
230.000000000000000            0.000000000000000
240.000000000000000            0.000000000000000
250.000000000000000            0.000000000000000
260.000000000000000            0.000000000000000
270.000000000000000            0.000000000000000
280.000000000000000            0.000000000000000
290.000000000000000            0.000000000000000
300.000000000000000            0.000000000000000
310.000000000000000            0.000000000000000
320.000000000000000            0.000000000000000
330.000000000000000            0.000000000000000
340.000000000000000            0.000000000000000
349.999999999999943            0.000000000000000
360.000000000000000            0.000000000000000
370.000000000000000            0.000000000000000
380.000000000000000            0.000000000000000
390.000000000000000            0.000000000000000
400.000000000000000            0.000000000000000
409.999999999999943            0.000000000000000
420.000000000000000            0.000000000000000
430.000000000000000            0.000000000000000
440.000000000000000            0.000000000000000
450.000000000000000            0.000000000000000
460.000000000000000            0.000000000000000
469.999999999999943            0.000000000000000
480.000000000000000            0.000000000000000
490.000000000000000            0.000000000000000
500.000000000000000            0.000000000000000
